Toplam 80 canli test basliyor...
4/80 | İş Hukuku | Haksız Fesih ve İhbar Tazminati | pass | sonuc=10
2/80 | İş Hukuku | Fazla Mesai ve Puantaj | pass | sonuc=10
1/80 | İş Hukuku | İşe İade ve Geçersiz Fesih | pass | sonuc=9
3/80 | İş Hukuku | Askerlik Nedeniyle Fesih ve Kıdem | pass | sonuc=8
6/80 | İş Hukuku | Hafta Tatili Ücreti | pass | sonuc=10
7/80 | İş Hukuku | Ulusal Bayram Genel Tatil Ücreti | pass | sonuc=10
5/80 | İş Hukuku | Yıllık İzin Ücreti | pass | sonuc=10
8/80 | İş Hukuku | Mobbing Nedeniyle Haklı Fesih | pass | sonuc=5
11/80 | İş Hukuku | Sendikal Tazminat | pass | sonuc=6
10/80 | İş Hukuku | Sigortasiz Çalışma ve Hizmet Tespiti | pass | sonuc=10
9/80 | İş Hukuku | Eksik Ücret Odemesi | pass | sonuc=10
12/80 | İş Hukuku | Esit Davranma Borcu | pass | sonuc=6
14/80 | İş Hukuku | Bonus ve Performans Primi | pass | sonuc=10
15/80 | İş Hukuku | Ikale Gecerliligi | pass | sonuc=10
13/80 | İş Hukuku | Prim Alacağı | pass | sonuc=10
16/80 | İş Hukuku | Baski ile Alinan İstifa | pass | sonuc=10
17/80 | İş Hukuku | İşe Başlatmama Tazminati | pass | sonuc=7
19/80 | İş Hukuku | Gece Vardiyasi ve Uzun Mesai | pass | sonuc=10
18/80 | İş Hukuku | Yemek ve Yol Yardimi | pass | sonuc=10
20/80 | İş Hukuku | Unvanli İscide Fazla Mesai | pass | sonuc=2
22/80 | Ceza | Haksız Tahrik ve Kasten Yaralama | pass | sonuc=4
21/80 | Ceza | Uyuşturucu Ticareti mi Bulundurma mi | pass | sonuc=10
23/80 | Ceza | Meşru Savunma | pass | sonuc=10
24/80 | Ceza | Arama İşlemi Usulsüzlüğü | pass | sonuc=9
26/80 | Ceza | İnternet İlan Dolandırıcılığı | pass | sonuc=10
27/80 | Ceza | Karşılıklı Kavga Yaralama | pass | sonuc=10
25/80 | Ceza | Tutuklama Ölçülülüğü | pass | sonuc=10
28/80 | Ceza | Whatsapp Tehdit ve Hakaret | pass | sonuc=6
30/80 | Ceza | Görevi Yaptırmamak İçin Direnme | pass | sonuc=10
29/80 | Ceza | Resmi Belgede Sahtecilik | fail | sonuc=0
31/80 | Ceza | Hırsızlık ve Teşebbüs | pass | sonuc=5
32/80 | Ceza | Mala Zarar Verme | pass | sonuc=10
34/80 | Ceza | Trafik Guvenligini Tehlikeye Sokma | pass | sonuc=5
33/80 | Ceza | Özel Hayatın Gizliliği | pass | sonuc=10
35/80 | Ceza | Taksirle Yaralama İs Kazasi | pass | sonuc=10
36/80 | Ceza | Öldürmeye Teşebbüs mü Yaralama mı | pass | sonuc=10
38/80 | Ceza | Örgüt Üyeliği Delilleri | pass | sonuc=10
37/80 | Ceza | Cinsel Saldiri Delil Değerlendirmesi | pass | sonuc=10
39/80 | Ceza | Kamera Görüntüsü ve Şüpheden Sanık | pass | sonuc=10
41/80 | Idare | İmar Para Cezası ve Yıkım | pass | sonuc=10
42/80 | Idare | Yapı Kayıt Belgesi ve Yıkım | pass | sonuc=10
40/80 | Ceza | Kamu Görevlisine Hakaret | pass | sonuc=5
43/80 | Idare | Memur Disiplin Cezasi | pass | sonuc=10
44/80 | Idare | Polis Disiplin Cezasi | pass | sonuc=4
46/80 | Idare | İşyeri Ruhsat İptali | pass | sonuc=10
45/80 | Idare | Öğretmen Atama İptali | pass | sonuc=10
47/80 | Idare | Cevre İdari Para Cezasi | pass | sonuc=10
50/80 | Idare | Encümen Karari İptali | pass | sonuc=10
49/80 | Idare | Yürütmenin Durdurulması | borderline | sonuc=6
48/80 | Idare | Kamulaştırmasız El Atma | pass | sonuc=10
51/80 | Idare | Ecrimisil İşlemi İptali | pass | sonuc=10
53/80 | Idare | Naklen Atama İşlemi | pass | sonuc=10
52/80 | Idare | Öğrenci Disiplin Cezasi | pass | sonuc=10
54/80 | Idare | Zabita Para Cezasi | pass | sonuc=7
55/80 | Idare | Tarim Arazisinde Prefabrik Yapı | pass | sonuc=9
56/80 | Idare | Kiyi Kenar Cizgisi ve Yıkım | pass | sonuc=8
57/80 | Idare | Sit Alani Yapilasma | pass | sonuc=10
58/80 | Idare | İhale Yasaklama İşlemi | pass | sonuc=10
59/80 | Idare | Imar Plani İptali | pass | sonuc=10
60/80 | Idare | İşyeri Kapatma İşlemi | pass | sonuc=10
61/80 | İcra ve Alacak Hukuku | İtirazın İptali ve Cari Hesap | pass | sonuc=10
63/80 | İcra ve Alacak Hukuku | Istirdat Davasi | pass | sonuc=9
62/80 | İcra ve Alacak Hukuku | Menfi Tespit ve Senet | pass | sonuc=6
64/80 | İcra ve Alacak Hukuku | Tahliye Taahhudune Dayali Takip | pass | sonuc=9
65/80 | İcra ve Alacak Hukuku | Kira Alacağı ve İnkar Tazminatı | pass | sonuc=10
66/80 | İcra ve Alacak Hukuku | Kambiyo Senedine İtiraz | pass | sonuc=10
67/80 | İcra ve Alacak Hukuku | Bono ve Zamanaşımı | pass | sonuc=10
68/80 | İcra ve Alacak Hukuku | Fatura Alacağı | pass | sonuc=10
70/80 | İcra ve Alacak Hukuku | Alacagin Temliki | pass | sonuc=10
71/80 | İcra ve Alacak Hukuku | Sebepsiz Zenginlesme | pass | sonuc=10
72/80 | İcra ve Alacak Hukuku | Ayıplı Mal Bedel İadesi | pass | sonuc=10
73/80 | İcra ve Alacak Hukuku | Eser Sözleşmesi Alacağı | pass | sonuc=10
74/80 | İcra ve Alacak Hukuku | Vekalet Ücreti Alacağı | pass | sonuc=10
75/80 | İcra ve Alacak Hukuku | Ceke Dayali Alacak | pass | sonuc=10
76/80 | İcra ve Alacak Hukuku | Takas ve Mahsup | pass | sonuc=10
77/80 | İcra ve Alacak Hukuku | E-fatura ve Ba Bs Kayıtları | pass | sonuc=10
78/80 | İcra ve Alacak Hukuku | Sevk İrsaliyesi ve Cari Hesap | pass | sonuc=10
79/80 | İcra ve Alacak Hukuku | Teminatla İcranin Geri Birakilmasi | pass | sonuc=4
80/80 | İcra ve Alacak Hukuku | Sozlesmeye Aykırılık Tazminati | pass | sonuc=10
69/80 | İcra ve Alacak Hukuku | Ticari Defter Delili | pass | sonuc=10

Rapor yazildi:
C:\Users\Obuzhukuk\Desktop\dilekceasist\output\legal-live-matrix-report.md
C:\Users\Obuzhukuk\Desktop\dilekceasist\output\legal-live-matrix-results.json
